Timestamp,Date,Name,Parent,Type of Event,Description,URL,Image,END,Status,
Original,11/1/2006,NYCgov's DataShare/NYC,Tools,API,"DataShare/NYC Integrated Justice Project Chosen as Top Winner  - The Overall ETAP Award for 2006, chosen as the project that exemplifies the best attributes of leadership, technical implementation, innovation and teamwork of all the nominations received for the year, was presented to multiple agencies for the DataShare/NYC Integrated Justice Project.  The City’s new integration platform—known as DataShare—currently links 17 agencies and enhances support for criminal justice investigations, trial preparation and case follow-up to improve public safety outcomes. For example, DataShare allows the New York City Police Department arrest data to seed case management systems for the District Attorney’s Office and Department of Probation.  DataShare is a watershed application for the City—a launching pad for citywide integration and a stepping stone to integration with many entities throughout the New York region.",http://www.nyc.gov/html/doitt/html/news/pr110206.shtml,,,,
Original,12/1/2009,NY Senate - Mobile,Tools,API,"NYSenateMobile, comprised of custom applications developed specifically for iPhones, iPads, and Android phones, as well as a full Senate web site optimized for any mobile web browser",http://nysenate.gov/mobile,,,,
Original,6/8/2011,NYC 311 - Content / Inquary API Launch,Tools,API,"Open311 is an Inquiry/Information API that provides open channels of communication for issues that concern public space and public services. Open311 provides a standardized protocol for location-based collaborative issue-tracking that is accessed via a Service Discovery mechanism   Open311 provides access to Services, Facilities, and Frequently Asked Questions (FAQs).  Open311 can be accessed to retrieve content that is typically provided to callers of the 311 system as an answer to their questions. ",https://developer.cityofnewyork.us/api/open311-inquiry,,,,
Original,10/7/2013,NYC Geo API,Tools,API,"The Geoclient API is a RESTful web service interface to the NYC Department of City Planning’s Geosupport system developed by the Department of Information Technology and Telecommunications GIS/Mapping unit. Geosupport is a mainframe-based geocoding system used by NYC government. Geosupport provides coordinate and geographic attributes for supported input locations (address, intersection, blockface). Geoclient exposes the most widely used Geosupport functions and provides them in a more intuitive and modern manner.   ",https://developer.cityofnewyork.us/api/geoclient-api-beta,,,,
Original,10/1/2009,NYC 311 Mobile App Launch,Tools,App,"Starting today, New Yorkers can submit select quality-of-life complaints – with an option to attach pictures – to 311 via their iPhones. New Yorkers are already able to report complaints to 311 through mobile web browsers.  The new, free iPhone application will streamline the process by allowing New Yorkers to report complaints to 311 using a program that identifies the user, determines the specific location of the condition reported using GPS technology, and allows easy uploads of photos. Going forward, this functionality will be expanded to other mobile phones, and enhanced so that any New Yorker can check the status of previously-reported issues.",http://www.nyc.gov/portal/site/nycgov/menuitem.c0935b9a57bb4ef3daf2f1c701c789a0/index.jsp?pageID=mayor_press_release&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2009b%2Fpr432-09.html&cc=unused1978&rc=1194&ndi=1,,,,
Original,10/9/2013,NYC Comptroler and PublicStuff launches NYC 311+ app,Tools,App,App of 311,http://www.knightfoundation.org/blogs/knightblog/2013/9/9/publicstuff-launches-nyc-311-app/,,,,
Original,1/24/2011,NYC Chief Digital Officer appointed - Rachel Stern (Haot),Events,Appointment,Rachel Haot named first Chief Digital Officer in the US,http://www.nbcnewyork.com/news/local/New-York-Hires-First-Chief-Digital-Officer-114517639.html,,,,
Original,2/16/2012,NYPD's Crash Data is scrapped,Community,Data,NYPD's Crashstats PDFs digitized.,http://nypd.openscrape.com/#/,,,,
Original,1/9/2013,NYPD's Crime Map is Scrapped,Community,Data,The NYPD's Crime Map is scraped by a civic hacker,http://thomaslevine.com/!/nyc-crime-map/,,,,
Original,7/15/2013,Crashmapper ,Community,Data,NYC Crashmapper lets you browse and analyze several years of intersection-level collision data on a map of NYC.,http://nyc.crashmapper.com/,,,,
Original,4/18/2013,Transporation Alternatives CrashStories ,Community,Website,Public sighting of crash stories,http://www.crashstories.org,,,,
Original,6/29/2009,NYC BigApps - Announced ,Events,Contest,"Through the NYC Big Apps annual competition, the City will provide an array of data sets to encourage the public to develop applications that could benefit New Yorkers. Approximately 80 data sets from across 32 City agencies and commissions may be made available on NYC.gov, including such categories as citywide events, property records and sales information, recreational facility directories and restaurant inspection information. The City will invite the public to create innovative applications, and winners will be awarded a cash prize and marketing opportunities. Mayor Bloomberg plans to congratulate the winners in person at a dinner. The contest will begin this fall. The program will be administered by New York City Economic Development Corporation, which today issued a Request for Expressions of Interest to solicit information from software developers and professionals in related fields to identify additional data sets to be aggregated.""Finding opportunities to engage our innovative high-tech workforce is integral to the continued growth of the media sector in New York City,"" said New York City Economic Development Corporation President Seth W. Pinsky. ""By making City data available to a broader audience and encouraging our entrepreneurs to create new applications using that information, we leverage existing resources to stimulate investment and create jobs.""",http://www.nyc.gov/portal/site/nycgov/menuitem.c0935b9a57bb4ef3daf2f1c701c789a0/index.jsp?pageID=mayor_press_release&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2009a%2Fpr294-09.html&cc=unused1978&rc=1194&ndi=1,,,,
Original,10/6/2009,Launch of NYC Big Apps Competition,Events,Contest,Big Apps is a a contest for software developers and members of the public to create web or mobile applications using City data.,http://www.nyc.gov/portal/site/nycgov/menuitem.c0935b9a57bb4ef3daf2f1c701c789a0/index.jsp?pageID=mayor_press_release&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2009b%2Fpr440-09.html&cc=unused1978&rc=1194&ndi=1,,,,
Original,10/9/2009,Annoucement of .NYC - TLD RFP,Events,Contest,"Department of Information Technology and Telecommunications Commissioner Paul J. Cosgrave today announced issuance of a Request for Proposals (RFP) seeking a qualified vendor to assist the City in applying to obtain the "".nyc"" top level domain (TLD) web address and - if the City successfully acquires the TLD - to operate, manage, maintain and market .nyc.  A TLD is the last part of an Internet address, such as .com, .gov, .edu, etc.  The City of New York may use the .nyc TLD to generate revenue, assist residents in locating City government services, help local businesses to thrive, market and promote tourism in the City, and spread the dynamic image of New York City around the world.  Use of .nyc has also been advocated by City Council Speaker Christine C. Quinn and Council Member Gale A. Brewer, Chair of the Council's Technology in Government Committee. ",http://www.nyc.gov/html/doitt/html/news/pr100509.shtml,,,,
Original,11/26/2013,Reinvent 311 Competition ,Events,Contest,"Reinvent 311 is challenging the developer community to find new ways to bring NYC311 info to New York City's 8.4 million residents. Register today and help us connect New Yorkers with vital information about their city - anywhere, anytime, and on any device.",https://www.hackerleague.org/hackathons/reinvent-311-mobile-content-challenge,,,,
Original,12/1/2009,NY Senate - Open Content,Policy,Copyright,NYSenate.gov is the first State web site that has copyrighted its content under a “Creative Commons” license,http://www.nysenate.gov/copyright-policy,,,,
Original,6/21/2010,LL Int 0029 Hearing Held by Committee,Events,Hearing," A Local Law to amend the administrative code of the city of New York, in relation to publishing open data. ",http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=649911&GUID=E650813B-B1E9-4E56-81BA-58261487DA4A,,,,
Original,4/29/2013,LL Int 032 Hearing Held by Committee on Technology,Events,Hearing,"A Local Law to amend the New York city charter, in relation to requiring that all public meetings be webcast.",http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=657961&GUID=7880F746-C597-416E-BD20-43175D0CD616&Options=ID|Text|&Search=132,,,,
Original,12/20/2013,Oversight hearing on NYC Open Data Law,Events,Hearing,The New York City Council’s Committee on Technology is holding an oversight hearing on DOITT’s administration of the New York City Open Data Law,http://legistar.council.nyc.gov/MeetingDetail.aspx?ID=268693&GUID=2FD5EC3A-D1AA-4B66-A79F-71063C79A8C3&Options=info|&Search=,,,,
Original,6/4/1974,Federal FOIA signed into law,Law,Federal Law,Federal freedom of information law that allows for the full or partial disclosure of previously unreleased information and documents controlled by the United States government.,http://www2.ed.gov/policy/gen/leg/foia/foiatoc.html,,,,
Original,9/1/1974,First New York Freedom of Information Law (FOIL),Law,Local Law,FOIL is a series of laws designed to guarantee that the public has access to public records of governmental bodies in New York.,http://ballotpedia.org/New_York_Freedom_of_Information_Law,,,,
